suite,mode,backend,kernel,n,block_size,divergence_degree,iterations,elapsed_ms,threads_launched,elements_per_thread,useful_ops,throughput_gops,gflops_est,slowdown_vs_uniform,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
compute,divergence-gpu,gpu,divergent,524288,512,32,512,8.69192943572998,524288,1.0,2147483648,247.06639232163144,247.06639232163144,27.76647757079119,2,32,32,1.0,,,
compute,uniform,gpu,uniform,524288,1024,1,512,0.31689600348472596,524288,1.0,2147483648,6776.619535700475,6776.619535700475,1.0,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,1024,2,512,0.6214079976081848,524288,1.0,2147483648,3455.8352262373824,3455.8352262373824,1.9609209039398188,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,1024,4,512,1.1448448181152344,524288,1.0,2147483648,1875.7857956115104,1875.7857956115104,3.612683042783828,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,1024,8,512,2.195027208328247,524288,1.0,2147483648,978.3403321162217,978.3403321162217,6.92664844046872,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,1024,16,512,4.323347187042236,524288,1.0,2147483648,496.7178334500529,496.7178334500529,13.642794921680407,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,524288,1024,32,512,8.4880765914917,524288,1.0,2147483648,253.00003185086715,253.00003185086715,26.7850540813173,1,32,32,1.0,,,
compute,uniform,gpu,uniform,1048576,32,1,512,0.5673792004585266,1048576,1.0,4294967296,7569.835645242245,7569.835645242245,1.0,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,1048576,32,2,512,1.1752320051193237,1048576,1.0,4294967296,3654.5697166951504,3654.5697166951504,2.0713343107564777,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,1048576,32,4,512,2.246438407897949,1048576,1.0,4294967296,1911.9007585072907,1911.9007585072907,3.959324568264916,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,1048576,32,8,512,4.46809606552124,1048576,1.0,4294967296,961.2522275746901,961.2522275746901,7.874973319272816,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,1048576,32,16,512,8.518803215026855,1048576,1.0,4294967296,504.1749630304684,504.1749630304684,15.014302970821626,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,1048576,32,32,512,16.910873794555663,1048576,1.0,4294967296,253.9766630735979,253.9766630735979,29.805240976209852,16,16,32,0.5,,,
compute,uniform,gpu,uniform,1048576,64,1,512,0.5624320149421692,1048576,1.0,4294967296,7636.420370632031,7636.420370632031,1.0,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,1048576,64,2,512,1.1932160139083863,1048576,1.0,4294967296,3599.4884798200187,3599.4884798200187,2.1215293265819444,16,32,32,1.0,,,
