suite,access_pattern,pattern,n,logical_n,input_elements,block_size,stride,elapsed_ms,bytes_read,bytes_written,index_bytes_read,effective_bytes,bandwidth_gbs,bandwidth_gbs_est,peak_bandwidth_gbs,peak_bandwidth_pct,flops_per_byte_est,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
memory,strided,strided,262144,262144,8388608,64,8,0.7684927940368652,1048576,1048576,0,2097152,2.7289156336570644,2.7289156336570644,495.0,0.5512960876074877,0.125,16,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,64,16,1.2693888187408446,1048576,1048576,0,2097152,1.652095850411102,1.652095850411102,495.0,0.3337567374567883,0.125,16,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,64,32,1.424896001815796,1048576,1048576,0,2097152,1.4717930272297237,1.4717930272297237,495.0,0.29733192469287345,0.125,16,32,32,1.0,,,
memory,random_gather,random_gather,262144,262144,8388608,64,0,1.535910415649414,1048576,1048576,1048576,3145728,2.0481194527676423,2.0481194527676423,495.0,0.4137615056096247,0.08333333333333333,16,32,32,1.0,,,
memory,coalesced,coalesced,262144,262144,8388608,128,1,0.06572160124778748,1048576,1048576,0,2097152,31.90963032220096,31.90963032220096,495.0,6.4463899640810025,0.125,8,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,128,1,0.06744319945573807,1048576,1048576,0,2097152,31.09508470718873,31.09508470718873,495.0,6.281835294381562,0.125,8,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,128,2,0.06994559913873673,1048576,1048576,0,2097152,29.982615430033132,29.982615430033132,495.0,6.057094026269319,0.125,8,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,128,4,0.436134397983551,1048576,1048576,0,2097152,4.808499420582494,4.808499420582494,495.0,0.9714140243600997,0.125,8,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,128,8,0.6983039975166321,1048576,1048576,0,2097152,3.0032077826535004,3.0032077826535004,495.0,0.6067086429603031,0.125,8,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,128,16,1.2467839956283568,1048576,1048576,0,2097152,1.6820491820181513,1.6820491820181513,495.0,0.3398079155592225,0.125,8,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,128,32,1.3118207931518555,1048576,1048576,0,2097152,1.5986573859385644,1.5986573859385644,495.0,0.32296108806839685,0.125,8,32,32,1.0,,,
memory,random_gather,random_gather,262144,262144,8388608,128,0,1.6226240158081056,1048576,1048576,1048576,3145728,1.9386672262664326,1.9386672262664326,495.0,0.3916499447002894,0.08333333333333333,8,32,32,1.0,,,
memory,coalesced,coalesced,262144,262144,8388608,256,1,0.06575360149145126,1048576,1048576,0,2097152,31.89410089229339,31.89410089229339,495.0,6.4432527055138165,0.125,4,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,256,1,0.06859520077705383,1048576,1048576,0,2097152,30.572867726068825,30.572867726068825,495.0,6.176336914357338,0.125,4,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,256,2,0.07071360051631928,1048576,1048576,0,2097152,29.656982315813764,29.656982315813764,495.0,5.991309558750255,0.125,4,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,256,4,0.40687360167503356,1048576,1048576,0,2097152,5.154308343835433,5.154308343835433,495.0,1.0412744128960472,0.125,4,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,256,8,0.7039103984832764,1048576,1048576,0,2097152,2.97928827947244,2.97928827947244,495.0,0.6018764200954424,0.125,4,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,256,16,1.3840384006500244,1048576,1048576,0,2097152,1.5152411949083613,1.5152411949083613,495.0,0.30610933230471943,0.125,4,32,32,1.0,,,
memory,strided,strided,262144,262144,8388608,256,32,1.8256768226623534,1048576,1048576,0,2097152,1.1486983752917228,1.1486983752917228,495.0,0.23206027783671165,0.125,4,32,32,1.0,,,
memory,random_gather,random_gather,262144,262144,8388608,256,0,1.6828799724578858,1048576,1048576,1048576,3145728,1.8692527402329175,1.8692527402329175,495.0,0.3776268162086702,0.08333333333333333,4,32,32,1.0,,,
memory,coalesced,coalesced,262144,262144,8388608,512,1,0.06755200028419495,1048576,1048576,0,2097152,31.045002237937698,31.045002237937698,495.0,6.271717623825798,0.125,2,32,32,1.0,,,
